Topic Number,comments,reactions
37,88.02189781021897,2127.2773722627735
42,350.92622950819674,4264.7786885245905
32,14.221052631578948,62.863157894736844
75,78.75,521.03125
60,695.6851851851852,11586.388888888889
73,11.75925925925926,241.92592592592592
64,111.92537313432835,1471.8805970149253
80,5.827586206896552,545.2413793103449
82,0.0,0.2222222222222222
83,184.875,8606.0
25,184.2,3694.325
1,105.66190476190476,1120.1333333333334
77,300.7692307692308,5245.692307692308
45,52.23809523809524,1223.2666666666667
10,16.040650406504064,540.0
8,38.765151515151516,401.5530303030303
36,49.99043062200957,292.07655502392345
55,65.74626865671642,1429.686567164179
18,447.93333333333334,3723.152380952381
66,18.05,269.875
24,25.974025974025974,509.94805194805195
30,43.666666666666664,565.7657657657658
14,53.0,2288.3626373626375
56,25.074074074074073,255.5185185185185
67,56.583333333333336,1689.5277777777778
34,123.93333333333334,3417.038095238095
9,21.335714285714285,72.73928571428571
0,24.4593572778828,94.8601134215501
68,293.1875,4313.25
69,862.9,12189.866666666667
26,32.635416666666664,510.7708333333333
61,95.22413793103448,2716.9310344827586
58,113.03508771929825,951.421052631579
21,136.3551912568306,2641.377049180328
16,172.69832402234636,2374.983240223464
79,0.0,1.0
7,38.406417112299465,354.9465240641711
47,18.465753424657535,116.36986301369863
65,8.294117647058824,40.76470588235294
84,140.0,391.0
12,20.439688715953306,141.42412451361866
39,34.252747252747255,198.1978021978022
4,27.787301587301588,163.06666666666666
3,21.199152542372882,84.20762711864407
33,23.60335195530726,109.43016759776536
15,21.36936936936937,121.41441441441441
17,28.970954356846473,239.4813278008299
70,0.65,74.925
28,784.1764705882352,12511.949579831933
46,635.9130434782609,10167.0
27,200.5142857142857,2588.6761904761906
44,554.85,8549.2375
11,313.8956043956044,6359.181318681319
43,110.23300970873787,2479.4563106796118
31,528.5166666666667,7874.4
2,1.4076246334310851,31.475073313782993
19,2.1674641148325358,26.028708133971293
54,30.125,280.0892857142857
51,67.81720430107526,658.3118279569892
81,2.0833333333333335,12.916666666666666
48,10.557291666666666,516.3229166666666
22,10.61864406779661,309.0508474576271
40,84.30645161290323,1662.1129032258063
6,62.25909090909091,1460.0454545454545
41,1.4285714285714286,43.506493506493506
49,92.89041095890411,1216.2465753424658
62,179.02631578947367,2029.828947368421
76,2.0714285714285716,42.67857142857143
57,37.78823529411765,925.8823529411765
63,343.4117647058824,7886.9607843137255
78,517.3333333333334,7173.888888888889
5,561.3472222222222,9795.189814814816
23,514.4170616113744,4507.729857819905
35,1068.605504587156,10400.091743119267
59,334.5076923076923,3850.769230769231
71,868.734375,11555.453125
52,157.64102564102564,4833.606837606838
53,401.06666666666666,9236.36
50,278.15584415584414,4735.857142857143
74,1095.0,18358.488372093023
13,690.0819672131148,16911.32786885246
72,210.30769230769232,3337.4615384615386
29,387.4366197183099,4853.316901408451
20,112.16265060240964,2112.4578313253014
38,414.1677852348993,4296.597315436242
